#{"t_start": 1528885464.56368, "gym_version": "0.9.7", "env_id": 1}
r,l,t
0,13,10.494458
16,17,16.986571
0,10,21.073475
2,10,24.674534
0,10,28.243571
1,10,31.681514
3,10,35.578283
8,10,39.012723
1,10,42.587764
3,10,46.716197
5,10,50.766576
0,10,54.467205
9,10,57.912154
0,10,61.45367
186,13,66.383674
0,10,69.914182
0,19,76.745037
4,10,80.204495
5,10,83.685469
7,10,87.42963
0,10,91.214819
0,10,94.71931
0,10,98.157253
0,10,101.778826
0,10,105.786675
720,13,110.549059
0,10,114.058553
190,24,122.572603
1,10,126.773588
183,31,138.530943
271,17,144.87295
11,12,149.047425
2,10,152.57092
3,10,156.201
5,10,159.758028
0,10,163.692323
0,10,167.134272
2,10,170.597731
0,11,174.404436
180,12,178.63344
4,10,182.112914
541,29,192.246114
0,13,196.808857
95,10,200.41542
0,10,203.855865
7,10,207.327331
1,10,210.937897
0,23,218.856024
277,21,226.153717
0,10,229.805305
6,10,233.462403
6,10,237.019432
3,10,240.448869
0,10,244.383164
1,10,248.449554
3,10,252.587995
10,10,256.065966
10,11,259.934716
1,12,264.137202
1,10,267.69623
0,10,271.220736
8,10,274.699207
91,18,281.051722
0,10,284.957998
0,10,288.727176
16,20,295.933797
3,10,299.618916
5,11,303.387594
0,10,306.87107
92,20,315.214999
0,10,318.734504
3,11,322.870939
1,10,327.077929
0,20,334.234515
0,10,338.079247
0,10,341.521193
0,12,345.861777
720,10,349.802077
0,10,353.556745
365,17,359.729632
0,18,366.958769
0,10,370.482273
12,27,380.32777
0,12,384.616817
0,10,388.076776
0,10,391.900994
4,10,395.459523
0,10,399.33978
0,20,407.242896
0,10,410.684342
7,11,414.592119
0,12,418.741568
3,10,422.610816
4,10,426.27442
0,10,430.420367
270,10,434.284613
15,16,440.385948
8,10,444.259201
2,51,463.981215
8,10,467.80193
0,13,472.99362
11,18,479.287593
281,19,522.103519
1,10,525.579489
5,10,529.14202
3,10,532.749584
10,33,545.403076
1,10,549.107208
4,11,552.914914
0,11,557.03284
9,15,562.183
0,12,566.875835
1,10,570.629002
0,10,574.662368
1,10,578.190375
0,14,583.403579
1,10,586.836519
3,10,590.862881
270,17,596.924688
0,10,600.98007
0,10,604.480558
0,10,608.206706
0,10,612.089464
0,10,616.147348
270,14,621.051333
281,24,629.482325
0,10,632.989817
0,10,636.524829
0,10,639.983287
0,20,646.8977
20,23,655.17108
0,10,658.683075
93,10,662.159545
0,15,667.787045
6,10,671.697323
271,10,675.840768
280,31,687.25638
0,10,691.209689
12,12,733.381157
17,19,740.279559
15,20,747.558732
0,11,751.977372
92,43,767.88968
0,16,773.439624
4,10,777.072705
0,10,780.626731
9,14,785.469172
2,10,788.943141
0,10,792.567717
90,10,796.505015
9,14,801.481051
0,10,805.143653
0,10,808.650645
0,10,812.099096
3,10,815.96034
0,10,819.811577
0,10,823.27754
0,10,826.735497
1,10,830.65128
8,10,834.132756
5,10,837.903433
0,10,841.41743
3,10,845.073028
0,10,848.510471
0,10,851.995447
0,10,855.639537
92,10,859.207072
0,10,863.286971
3,16,869.471366
2,10,873.323604
0,12,877.48356
11,18,883.849584
90,25,892.774927
2,10,896.324449
6,11,900.842159
672,98,937.711859
0,10,941.670172
0,10,945.135134
15,32,957.225226
0,12,961.760449
6,10,965.917904
0,10,969.625037
5,12,973.792499
1,10,977.300492
3,10,980.825997
6,10,984.603682
1,10,988.040624
0,10,992.18607
0,10,996.089344
0,13,1001.004837
5,10,1004.8941
5,10,1008.669784
0,10,1012.668626
1,10,1016.361249
2,12,1020.727352
91,19,1027.254991
2,11,1031.08121
0,10,1034.737808
0,10,1038.171748
7,10,1041.680242
8,10,1045.122188
4,10,1048.608165
5,11,1052.460402
1,10,1056.403704
0,12,1061.214123
14,14,1066.028544
1,10,1069.585071
6,10,1073.573906
1,10,1077.049376
4,10,1080.47531
4,12,1084.824401
96,22,1093.103784
12,12,1097.848156
0,10,1101.598821
720,13,1106.686437
11,16,1112.379482
6,10,1115.991055
2,10,1119.927346
8,10,1123.427833
0,27,1133.41493
0,12,1137.787538
18,20,1145.521033
11,12,1149.640961
4,10,1153.092914
487,67,1178.473951
0,10,1182.68144
181,10,1186.707801
1,10,1190.145745
12,24,1198.86444
1,10,1202.48101
9,15,1208.796999
90,10,1212.939942
10,10,1217.034853
10,10,1221.009677
1,10,1224.851407
2,10,1229.179483
0,10,1233.297409
0,10,1237.501396
8,13,1242.267784
0,33,1254.576031
0,10,1258.085524
11,12,1262.552199
4,10,1266.014658
2,14,1271.366462
5,10,1275.216197
8,10,1279.111966
6,14,1284.137538
5,12,1288.296993
0,10,1292.056165
97,15,1297.890311
0,10,1301.52039
0,10,1305.795428
0,11,1345.407577
3,10,1348.998629
8,17,1355.076948
3,10,1359.204381
0,11,1363.70558
9,10,1367.848524
10,11,1372.368736
9,10,1375.841704
8,11,1379.626894
5,18,1385.928873
0,10,1390.087828
2,11,1394.254789
182,12,1398.628897
0,10,1402.697789
8,10,1406.632585
22,58,1428.188408
1,10,1432.353363
3,10,1436.26164
0,10,1440.199939
1,10,1443.758468
5,11,1447.850375
5,20,1456.263854
0,13,1461.280919
2,12,1465.443377
0,10,1469.273599
1,10,1472.753072
0,10,1476.3116
8,11,1480.244395
3,10,1483.69785
96,35,1532.644132
4,12,1536.93318
1,10,1540.369121
0,10,1543.805063
1,10,1547.284035
7,11,1551.799244
11,19,1559.196501
0,10,1562.799061
0,10,1566.952012
3,10,1571.108465
2,10,1615.730175
183,77,1645.82356
6,10,1649.840414
0,10,1653.94383
1,10,1658.061756
2,45,1675.443108
0,10,1679.376903
